	Term	P-value	trait_efos	trait_category	program_name	trait_reported	Genes	study_id	pmid	-log10(p-value)
1346	EFO_1000566	0.0373407733736275	EFO_1000566	cell proliferation disorder	12	Testicular germ cell tumor	RFWD3;SSR3;CENPE	GCST004635	PMID:28604728	1.4278166915176131
1347	EFO_1000566	0.0378228317052637	EFO_1000566	cell proliferation disorder	6	Testicular germ cell tumor	UCK2;SUGCT;KITLG	GCST004635	PMID:28604728	1.4222459596810006
1348	EFO_0000571	0.0382923532348382	EFO_0000571	cell proliferation disorder	53	Lung adenocarcinoma [East Asian]	BPTF;BAZ1A	GCST008836_2	PMID:31326317	1.416887943511255
1349	EFO_0000571	0.0382923532348382	EFO_0000571	cell proliferation disorder	53	Lung adenocarcinoma	BPTF;BAZ1A	GCST012201	PMID:32889700	1.416887943511255
1350	EFO_0001663	0.0385608581284736	EFO_0001663	cell proliferation disorder	34	Prostate cancer	KRT8;ATP2B1;MDM4;RGS17;FAM118A;SLC25A37;TNRC6B	GCST011049	PMID:33398198	1.413853309927038
1351	MONDO_0002278	0.0396745224261576	MONDO_0002278	cell proliferation disorder	43	Benign neoplasm of colon	LAMA5;LAMC1	SAIGE_208		1.4014882922714826
1352	EFO_1001512	0.0401861973219946	EFO_1001512	cell proliferation disorder	15	Endometrial cancer	DMRTA1;SH2B3	GCST006464	PMID:30093612	1.3959230876175868
1353	EFO_1001512	0.0401861973219946	EFO_1001512	cell proliferation disorder	50	Endometrial cancer	HEY2;SOX4	GCST006464	PMID:30093612	1.3959230876175868
1354	EFO_0000305	0.0418000934263041	EFO_0000305	cell proliferation disorder	1	Breast cancer	CMSS1;FOXP1;CEBPB;KLF4;MYC;DNAJC1	GCST90090980	PMID:32139696	1.3788227475435535
1355	EFO_0005842	0.0427996965577194	EFO_0005842	cell proliferation disorder	15	Colorectal cancer	KLF2;ZMIZ1;LAMA5;CDKN2B;FOXC2	GCST007992	PMID:31089142	1.3685593100469962
1356	EFO_0004193	0.0431809188898513	EFO_0004193	cell proliferation disorder	46	Basal cell carcinoma	PTPN22;CTSH;RNASET2;BCAS4	GCST008871	PMID:31174203	1.3647081201179119
1357	EFO_1001512	0.0434153681414258	EFO_1001512	cell proliferation disorder	8	Endometrial cancer	SH2B3;SOX4	GCST006464	PMID:30093612	1.3623565120175103
1358	MONDO_0002278	0.0437450027205188	MONDO_0002278	cell proliferation disorder	34	Benign neoplasm of colon	LAMA5;MDM4	SAIGE_208		1.3590715521242234
1359	EFO_0000768	0.0450670179852143	EFO_0000768	cell proliferation disorder	27	Idiopathic pulmonary fibrosis	DPP9;AKAP13	GCST009758	PMID:31710517	1.346141177571621
1360	MONDO_0007254	0.0458061874293799	MONDO_0007254	cell proliferation disorder	27	Breast cancer	PTHLH;CCDC170;CCND1	SAIGE_174		1.3390758542026913
1361	EFO_0000731	0.0459194261593629	EFO_0000731	cell proliferation disorder	13	Uterine fibroids	CD44;CD109;WNT4	GCST90018934	PMID:34594039	1.3380035478178216
1362	EFO_1001512	0.0467429211468756	EFO_1001512	cell proliferation disorder	39	Endometrial cancer	SH2B3;SOX4	GCST006464	PMID:30093612	1.3302841503450111
1363	EFO_0001663	0.0473399483007022	EFO_0001663	cell proliferation disorder	20	Prostate cancer	GDNF;BIK;SLC35G5;CDKN1B;COPRS;SUGCT;PDLIM5	GCST011049	PMID:33398198	1.3247722206936283
1364	EFO_0000571	0.0473935568163822	EFO_0000571	cell proliferation disorder	51	Lung adenocarcinoma [East Asian]	ACTR2;TERT	GCST008836_2	PMID:31326317	1.324280696918608
1365	EFO_0000571	0.0473935568163822	EFO_0000571	cell proliferation disorder	51	Lung adenocarcinoma	ACTR2;TERT	GCST012201	PMID:32889700	1.324280696918608
1366	EFO_0010176	0.047933269662774	EFO_0010176	cell proliferation disorder	16	Keratinocyte cancer (MTAG)	RGS22;TERT;ZFHX4	GCST008870	PMID:31174203	1.3193629455529992
1367	EFO_0001663	0.0479360087219611	EFO_0001663	cell proliferation disorder	2	Prostate cancer	KRT8;ATP2B1;MBNL1;TLE4;LAMC1;ADAMTSL1;PPFIBP2;RGS5	GCST011049	PMID:33398198	1.3193381292967192
1368	EFO_0002422	0.0483108147175578	EFO_0002422	cell proliferation disorder	46	Benign neoplasms	ATM;STN1	FINNGEN_R6_CD2_BENIGN		1.3159556384738165
1369	EFO_0002422	0.0483108147175578	EFO_0002422	cell proliferation disorder	46	Benign neoplasms (controls excluding all cancers)	ATM;STN1	FINNGEN_R6_CD2_BENIGN_EXALLC		1.3159556384738165
1370	EFO_0009259	0.0484409329059676	EFO_0009259	cell proliferation disorder	38	Other non-epithelial cancer of skin	CUX1;FOXP1;BCAS4	SAIGE_172_2		1.3147875015320312
1371	EFO_0007355	0.0489610342176196	EFO_0007355	cell proliferation disorder	16	malignant neoplasm of male genital organs	TERT;MYEOV	FINNGEN_R6_C3_MALE_GENITAL		1.310149417041796
1372	EFO_0007355	0.0489610342176196	EFO_0007355	cell proliferation disorder	16	malignant neoplasm of male genital organs (controls excluding all cancers)	TERT;MYEOV	FINNGEN_R6_C3_MALE_GENITAL_EXALLC		1.310149417041796
1373	EFO_1000438	0.0490243160845689	EFO_1000438	cell proliferation disorder	8	Contracture of palmar fascia [dupuytren's disease]	KDR;RAB31;DDR2	SAIGE_728_71		1.3095884562582325
1374	EFO_0000768	0.0501661344618741	EFO_0000768	cell proliferation disorder	36	Idiopathic pulmonary fibrosis	ZKSCAN1;AKAP13	GCST009758	PMID:31710517	1.2995893621286179
1375	EFO_1001512	0.0501661344618741	EFO_1001512	cell proliferation disorder	36	Endometrial cancer	DMRTA1;SOX4	GCST006464	PMID:30093612	1.2995893621286179
1376	EFO_0000095	0.0503284232760991	EFO_0000095	cell proliferation disorder	13	Chronic lymphocytic leukemia	ID3;FAS;CDKN2B	GCST004146	PMID:28165464	1.2981866752697768
1377	EFO_0000571	0.0504632017997124	EFO_0000571	cell proliferation disorder	38	Lung adenocarcinoma [East Asian]	ACTR2;NRG1	GCST008836_2	PMID:31326317	1.297025197737723
1378	EFO_0000571	0.0504632017997124	EFO_0000571	cell proliferation disorder	38	Lung adenocarcinoma	ACTR2;NRG1	GCST012201	PMID:32889700	1.297025197737723
1379	EFO_0002422	0.0505627650006628	EFO_0002422	cell proliferation disorder	33	Benign neoplasms	SYNE1;EXO1	FINNGEN_R6_CD2_BENIGN		1.2961691848899028
1380	EFO_0002422	0.0505627650006628	EFO_0002422	cell proliferation disorder	33	Benign neoplasms (controls excluding all cancers)	SYNE1;EXO1	FINNGEN_R6_CD2_BENIGN_EXALLC		1.2961691848899028
1381	EFO_0005842	0.0509854354014368	EFO_0005842	cell proliferation disorder	17	Colorectal cancer	COL4A2;RHPN2;PARD6B;CCND2	GCST007992	PMID:31089142	1.2925538675913462
1382	MONDO_0008315	0.0514743900327129	MONDO_0008315	cell proliferation disorder	17	Malignant neoplasm of prostate (controls excluding all cancers)	HOXB13;MYEOV	FINNGEN_R6_C3_PROSTATE_EXALLC		1.2884087910333206
1383	EFO_1001512	0.0525000963152693	EFO_1001512	cell proliferation disorder	47	Endometrial cancer	SH2B3;SOX4	GCST006464	PMID:30093612	1.279839899848298
1384	EFO_1000438	0.0541718179706508	EFO_1000438	cell proliferation disorder	39	Contracture of palmar fascia [dupuytren's disease]	KDR;RAB31;ANTXR1	SAIGE_728_71		1.2662265895305078
1385	MONDO_0021400	0.0548462560370134	MONDO_0021400	cell proliferation disorder	8	Colon polyp	LAMA5;PREX1;NID2	GCST90018827	PMID:34594039	1.2608530132663236
1386	EFO_1000566	0.0549354532823903	EFO_1000566	cell proliferation disorder	13	Testicular germ cell tumor	ZFPM1;SUGCT;KITLG	GCST004635	PMID:28604728	1.2601472876908595
1387	MONDO_0002278	0.0558343829522886	MONDO_0002278	cell proliferation disorder	6	Benign neoplasm of colon	SMAD7;BMP2	SAIGE_208		1.253098279058398
1388	EFO_0009780	0.0567516217618901	EFO_0009780	cell proliferation disorder	11	Malignant neoplasm of breast, HER2-negative	LSP1;APOBEC3A	FINNGEN_R6_C3_BREAST_HER2NEG		1.2460217233475936
1389	MONDO_0021400	0.0615128489448205	MONDO_0021400	cell proliferation disorder	25	Colon polyp	NTN4;PREX1;SMAD3	GCST90018827	PMID:34594039	1.2110341583223383
1390	EFO_0000708	0.0619367997083237	EFO_0000708	cell proliferation disorder	57	Squamous cell lung carcinoma	CLPTM1L	GCST004750	PMID:28604730	1.208051238516241
1391	EFO_1001927	0.0621914994124538	EFO_1001927	cell proliferation disorder	12	Cutaneous squamous cell carcinoma	WEE1;FOXP1	GCST010148	PMID:32041948	1.2062689723920597
1392	MONDO_0002278	0.0625454223507852	MONDO_0002278	cell proliferation disorder	44	Benign neoplasm of colon	LAMA5;LAMC1	SAIGE_208		1.2038044704716662
1393	EFO_0004267	0.0643604653673477	EFO_0004267	cell proliferation disorder	13	Primary biliary cholangitis	PLCL2;IL12A	GCST001010	PMID:21399635	1.1913808243346538
1394	EFO_0005842	0.0648511673756857	EFO_0005842	cell proliferation disorder	2	Colorectal cancer	LAMA5;LAMC1;BMP4;HHIP	GCST007992	PMID:31089142	1.1880822018427306
1395	EFO_0000095	0.0680135320752024	EFO_0000095	cell proliferation disorder	23	Chronic lymphocytic leukemia	ID3;QPCT	GCST004146	PMID:28165464	1.1674046708097738
1396	MONDO_0002898	0.0682243134090411	MONDO_0002898	cell proliferation disorder	37	Skin cancer	BNC2;FOXP1;FHL2	SAIGE_172		1.1660608262577754
1397	EFO_0004193	0.0691208078644381	EFO_0004193	cell proliferation disorder	35	Basal cell carcinoma	LPP;RBMS1;TNS3;PTPN22;CDKN2B	GCST008871	PMID:31174203	1.16039119458852
1398	EFO_0001663	0.0692353440802004	EFO_0001663	cell proliferation disorder	15	Prostate cancer	MOB2;SKIL;SLC25A37;ADGRG1;ZMIZ1;CDKN2B;ITGA6;KLF7;NCEH1	GCST011049	PMID:33398198	1.1596721451332184
1399	EFO_0000571	0.0712217730274233	EFO_0000571	cell proliferation disorder	48	Lung adenocarcinoma [East Asian]	ACTR2;MPZL3	GCST008836_2	PMID:31326317	1.1473872190015355
1400	EFO_0000571	0.0712217730274233	EFO_0000571	cell proliferation disorder	48	Lung adenocarcinoma	ACTR2;MPZL3	GCST012201	PMID:32889700	1.1473872190015355
1401	EFO_0000707	0.0712217730274233	EFO_0000707	cell proliferation disorder	48	Squamous cell carcinoma	LPP;SEC16A	GCST008872	PMID:31174203	1.1473872190015355
1402	MONDO_0021400	0.0722052735626807	MONDO_0021400	cell proliferation disorder	35	Colon polyp	PREX1;TNS3;SMAD3	GCST90018827	PMID:34594039	1.1414310822706089
1403	EFO_1000391	0.072278224800054	EFO_1000391	cell proliferation disorder	14	Nasal polyps	TSLP;IL18R1	GCST90018883	PMID:34594039	1.1409925225334685
1404	EFO_0005842	0.0738502329025991	EFO_0005842	cell proliferation disorder	13	Colorectal cancer	CDKN2B;FMN1;CDKN1A;WNT4	GCST007992	PMID:31089142	1.1316481307087805
1405	EFO_0000305	0.0742625671495737	EFO_0000305	cell proliferation disorder	18	Breast cancer	ARRDC3;NRIP1;FILIP1L;SLC4A7;MYC;CITED4	GCST90090980	PMID:32139696	1.1292300419180523
1406	EFO_0009260	0.0754748288800289	EFO_0009260	cell proliferation disorder	1	Non-melanoma skin cancer	CELF2;FOXP1;JDP2	GCST90027058	PMID:34290314	1.1221978629559868
1407	EFO_0000731	0.0766570865649164	EFO_0000731	cell proliferation disorder	28	Uterine fibroids	SYNE1;SLC38A2;CD44	GCST90018934	PMID:34594039	1.1154476905972448
1408	EFO_0000571	0.0770277847855188	EFO_0000571	cell proliferation disorder	9	Lung adenocarcinoma [East Asian]	ACTR2;BPTF	GCST008836_2	PMID:31326317	1.1133525916787035
1409	EFO_0000571	0.0770277847855188	EFO_0000571	cell proliferation disorder	9	Lung adenocarcinoma	ACTR2;BPTF	GCST012201	PMID:32889700	1.1133525916787035
1410	MONDO_0007254	0.0817969202220302	MONDO_0007254	cell proliferation disorder	26	Breast cancer	PITPNB;MRPS30	SAIGE_174		1.0872630478660545
1411	EFO_0002892	0.0823361453038281	EFO_0002892	cell proliferation disorder	16	Thyroid cancer	PCNX2	GCST004144	PMID:28195142	1.0844094690419994
1412	EFO_0004251	0.0823361453038281	EFO_0004251	cell proliferation disorder	16	Myeloproliferative neoplasms	TERT	GCST90000032	PMID:33057200	1.0844094690419994
1413	EFO_0000621	0.0827474294132079	EFO_0000621	cell proliferation disorder	43	Neuroblastoma (pediatric)	LAMA5	GCST011053	PMID:32599975	1.0822454888996695
1414	EFO_0004251	0.0847806401511026	EFO_0004251	cell proliferation disorder	55	Myeloproliferative neoplasms	MRPS31	GCST90000032	PMID:33057200	1.0717033085387127
1415	MONDO_0002278	0.0848134479389961	MONDO_0002278	cell proliferation disorder	18	Benign neoplasm of colon	SMAD3;BMP2	SAIGE_208		1.0715352809667165
1416	EFO_0001663	0.0849992954928761	EFO_0001663	cell proliferation disorder	8	Prostate cancer	RASSF3;ATP2B1;ETS2;TTC28;RGS17;LAMC1;ITGA6;TNRC6B;BCL2L11	GCST011049	PMID:33398198	1.0705846738718758
1417	EFO_0000621	0.0871614159653006	EFO_0000621	cell proliferation disorder	34	Neuroblastoma (pediatric)	LAMA5	GCST011053	PMID:32599975	1.059675723114612
1418	EFO_0000389	0.0881182322171805	EFO_0000389	cell proliferation disorder	29	Cutaneous malignant melanoma	TYRP1;GPRC5A;MED13L;CCND1	GCST010304	PMID:32341527	1.0549342240272237
1419	EFO_0001663	0.0884283074113421	EFO_0001663	cell proliferation disorder	18	Prostate cancer	ATP2B1;RAB29;ZNF827;CDKN2B;SLC25A37;ETS2;KLF7;VEGFA	GCST011049	PMID:33398198	1.0534086876496784
1420	EFO_0004251	0.088437612265094	EFO_0004251	cell proliferation disorder	22	Myeloproliferative neoplasms	MRPS31	GCST90000032	PMID:33057200	1.0533629914901188
1421	EFO_1000650	0.0887300887259172	EFO_1000650	cell proliferation disorder	51	Breast cancer (estrogen-receptor negative)	TERT;FTO	GCST005076	PMID:29058716	1.0519290842067777
1422	EFO_0000707	0.0900452522937988	EFO_0000707	cell proliferation disorder	35	Squamous cell carcinoma	LPP;RALY	GCST008872	PMID:31174203	1.0455391807562928
1423	EFO_0001663	0.0903616908082391	EFO_0001663	cell proliferation disorder	16	Prostate cancer	KRT8;MSMB;TERT;MYEOV;UQCC1	GCST011049	PMID:33398198	1.0440156513481982
1424	EFO_0004193	0.0923407293796246	EFO_0004193	cell proliferation disorder	42	Basal cell carcinoma	BRCA2;SMC2;HAUS6	GCST008871	PMID:31174203	1.0346066993723246
1425	EFO_0000183	0.093021927095906	EFO_0000183	cell proliferation disorder	21	Hodgkin's lymphoma	PLAAT1	GCST012335	PMID:34216518	1.0314146676362752
1426	MONDO_0021400	0.093854046822097	MONDO_0021400	cell proliferation disorder	34	Colon polyp	LAMA5;MDM4	GCST90018827	PMID:34594039	1.0275469966215907
1427	EFO_0010176	0.095745939249382	EFO_0010176	cell proliferation disorder	26	Keratinocyte cancer (MTAG)	RPP40;PPARGC1B;RCC2	GCST008870	PMID:31174203	1.0188796361476748
1428	EFO_1000566	0.0972010606862131	EFO_1000566	cell proliferation disorder	60	Testicular germ cell tumor	SSR3;ZNF638	GCST004635	PMID:28604728	1.01232899590031
1429	EFO_0000326, EFO_0000519	0.097977459203199	EFO_0000326, EFO_0000519	cell proliferation disorder	16	Glioblastoma	TERT	GCST004349	PMID:28346443	1.0088738270590905
1430	EFO_0000326, EFO_0005543	0.097977459203199	EFO_0000326, EFO_0005543	cell proliferation disorder	16	Glioma	TERT	GCST004347	PMID:28346443	1.0088738270590905
1431	EFO_0001075	0.097977459203199	EFO_0001075	cell proliferation disorder	16	Invasive epithelial ovarian cancer	TERT	GCST004415	PMID:28346442	1.0088738270590905
1432	EFO_0010176	0.0982369308102342	EFO_0010176	cell proliferation disorder	37	Keratinocyte cancer (MTAG)	BNC2;CELF2;FOXP1;ST3GAL6	GCST008870	PMID:31174203	1.0077252145355744
1433	MONDO_0007254	0.0993492440626248	MONDO_0007254	cell proliferation disorder	10	Breast cancer	CCDC88C;PITPNB	SAIGE_174		1.002835433040122
1434	MONDO_0021400	0.0994619853662806	MONDO_0021400	cell proliferation disorder	45	Colon polyp	PREX1;SMAD3	GCST90018827	PMID:34594039	1.002342876040707
1435	EFO_0003869	0.1004091258957771	EFO_0003869	cell proliferation disorder	27	Malignant neoplasm of breast	CCDC170;CCND1	FINNGEN_R6_C3_BREAST		0.9982268136246119
1436	EFO_1000391	0.1016779488453443	EFO_1000391	cell proliferation disorder	15	Nasal polyps	CYP2S1;FOXP1	GCST90018883	PMID:34594039	0.992773223411302
1437	EFO_1000391	0.1016779488453443	EFO_1000391	cell proliferation disorder	50	Nasal polyps	GPX4;FOXP1	GCST90018883	PMID:34594039	0.992773223411302
1438	EFO_0001663	0.1022637556536941	EFO_0001663	cell proliferation disorder	11	Prostate cancer	ZBTB38;JADE2;ETV3;ZMIZ1;RGS5;RAB29	GCST011049	PMID:33398198	0.9902782617784194
1439	EFO_0004198	0.1025997180678638	EFO_0004198	cell proliferation disorder	16	Skin cancer	TERT;ZFHX4	GCST90018921	PMID:34594039	0.9888538326134739
1440	EFO_1000391	0.1029182376634283	EFO_1000391	cell proliferation disorder	37	Nasal polyps	CYP2S1;FOXP1	GCST90018883	PMID:34594039	0.9875076591076423
1441	EFO_0005842	0.1035052913854228	EFO_0005842	cell proliferation disorder	43	Colorectal cancer	LAMA5;LAMC1;COL4A2	GCST007992	PMID:31089142	0.9850374476877378
1442	EFO_0007355	0.1036789902059249	EFO_0007355	cell proliferation disorder	33	malignant neoplasm of male genital organs	GJC1;SPDL1	FINNGEN_R6_C3_MALE_GENITAL		0.9843092413165597
1443	EFO_0007355	0.1036789902059249	EFO_0007355	cell proliferation disorder	33	malignant neoplasm of male genital organs (controls excluding all cancers)	GJC1;SPDL1	FINNGEN_R6_C3_MALE_GENITAL_EXALLC		0.9843092413165597
1444	MONDO_0002278	0.1054122462181088	MONDO_0002278	cell proliferation disorder	48	Benign neoplasm of colon	LAMA5;LAMC1	SAIGE_208		0.9771089322354097
1445	EFO_0007355	0.1054259686868362	EFO_0007355	cell proliferation disorder	17	malignant neoplasm of male genital organs	HOXB13;MYEOV	FINNGEN_R6_C3_MALE_GENITAL		0.9770523998609775
1446	EFO_0007355	0.1054259686868362	EFO_0007355	cell proliferation disorder	17	malignant neoplasm of male genital organs (controls excluding all cancers)	HOXB13;MYEOV	FINNGEN_R6_C3_MALE_GENITAL_EXALLC		0.9770523998609775
1447	EFO_0000621	0.1056228608075598	EFO_0000621	cell proliferation disorder	44	Neuroblastoma (pediatric)	LAMA5	GCST011053	PMID:32599975	0.9762420737712967
1448	EFO_0000708	0.1056228608075598	EFO_0000708	cell proliferation disorder	44	Squamous cell lung carcinoma	CLPTM1L	GCST004750	PMID:28604730	0.9762420737712967
1449	EFO_0000681	0.1058784959762698	EFO_0000681	cell proliferation disorder	57	Renal cell carcinoma	SCARB1	GCST004710	PMID:28598434	0.9751922365607724
1450	EFO_0000731	0.1068177523655104	EFO_0000731	cell proliferation disorder	42	Uterine fibroids	PRIM1;MCM8	GCST90018934	PMID:34594039	0.971356564594984
1451	EFO_1000438	0.1075154353927108	EFO_1000438	cell proliferation disorder	10	Contracture of palmar fascia [dupuytren's disease]	NEDD4;CDKN1A	SAIGE_728_71		0.968529182030564
1452	EFO_0002892	0.107744561803524	EFO_0002892	cell proliferation disorder	34	Thyroid cancer	PCNX2	GCST004144	PMID:28195142	0.9676046407804384
1453	EFO_0000305	0.1094667780623115	EFO_0000305	cell proliferation disorder	50	Breast cancer	NREP;PTHLH;FOXP1;SLC4A7;KCTD1;DNAJC1	GCST90090980	PMID:32139696	0.9607176643250371
1454	EFO_0002892	0.1095376791300666	EFO_0002892	cell proliferation disorder	11	Thyroid cancer	PCNX2	GCST004144	PMID:28195142	0.9604364650840939
1455	EFO_0000621	0.10995397711219	EFO_0000621	cell proliferation disorder	2	Neuroblastoma (pediatric)	LAMA5	GCST011053	PMID:32599975	0.9587890572841826
1456	EFO_0001071	0.1106467735206189	EFO_0001071	cell proliferation disorder	59	Lung cancer	RNASET2	GCST004748	PMID:28604730	0.9560612456555775
1457	EFO_0004198	0.1111895109331573	EFO_0004198	cell proliferation disorder	37	Skin cancer	BNC2;FOXP1;ST3GAL6	GCST90018921	PMID:34594039	0.9539361800085262
1458	EFO_0002892	0.1113279124727899	EFO_0002892	cell proliferation disorder	45	Thyroid cancer	SMAD3	GCST004144	PMID:28195142	0.9533959343793945
1459	EFO_1000438	0.1121555024587079	EFO_1000438	cell proliferation disorder	33	Contracture of palmar fascia [dupuytren's disease]	CDKN1A;LPIN1	SAIGE_728_71		0.9501794146460373
1460	MONDO_0002278	0.112998264728778	MONDO_0002278	cell proliferation disorder	27	Benign neoplasm of colon	LAMC1;TNS3	SAIGE_208		0.9469282257599679
1461	EFO_0000681	0.1133541875409362	EFO_0000681	cell proliferation disorder	16	Renal cell carcinoma	MYEOV	GCST004710	PMID:28598434	0.9455624314939791
1462	MONDO_0002278	0.1136372560763516	MONDO_0002278	cell proliferation disorder	9	Benign neoplasm of colon	LAMC1;SMAD3	SAIGE_208		0.9444792614440541
1463	EFO_0000389	0.1140197579225008	EFO_0000389	cell proliferation disorder	51	Cutaneous malignant melanoma	TERT;ARHGEF12;MED13L	GCST010304	PMID:32341527	0.9430198853897162
1464	EFO_0004193	0.1147357763638686	EFO_0004193	cell proliferation disorder	26	Basal cell carcinoma	RPP40;PPARGC1B;RCC2	GCST008871	PMID:31174203	0.9403011413424313
1465	EFO_1001927	0.1148793351772846	EFO_1001927	cell proliferation disorder	37	Cutaneous squamous cell carcinoma	BNC2;FOXP1	GCST010148	PMID:32041948	0.9397580864171665
1466	EFO_0001071	0.1163095468045417	EFO_0001071	cell proliferation disorder	23	Lung cancer	RNASET2	GCST004748	PMID:28604730	0.9343846364807642
1467	EFO_0005842	0.1166796455522364	EFO_0005842	cell proliferation disorder	34	Colorectal cancer	LAMA5;SBF2;COL4A2	GCST007992	PMID:31089142	0.9330048988418859
1468	MONDO_0008315	0.1169022486161488	MONDO_0008315	cell proliferation disorder	29	Malignant neoplasm of prostate (controls excluding all cancers)	SKIL;MYEOV	FINNGEN_R6_C3_PROSTATE_EXALLC		0.9321771350982694
1469	EFO_0001663	0.1172814567382563	EFO_0001663	cell proliferation disorder	32	Prostate cancer	RASSF3;ZNF652;MDM4;VPS53;ADNP;SLC25A37;TNRC6B	GCST011049	PMID:33398198	0.9307706483521866
1470	MONDO_0002898	0.1177125601820914	MONDO_0002898	cell proliferation disorder	26	Skin cancer	MTAP;RCC2	SAIGE_172		0.9291771945334278
1471	MONDO_0021400	0.1178272721107107	MONDO_0021400	cell proliferation disorder	6	Colon polyp	SMAD7;ACAD10	GCST90018827	PMID:34594039	0.928754176812292
1472	EFO_0004251	0.1178674835250226	EFO_0004251	cell proliferation disorder	5	Myeloproliferative neoplasms	JAK2	GCST90000032	PMID:33057200	0.9286059885722311
1473	EFO_0009260	0.119166512561465	EFO_0009260	cell proliferation disorder	16	Non-melanoma skin cancer	RGS22;ZFHX4	GCST90027058	PMID:34290314	0.9238457702084258
1474	EFO_0000756	0.1200671782040562	EFO_0000756	cell proliferation disorder	57	Melanoma	CLPTM1L	GCST90011809	PMID:32887889	0.9205756959524807
1475	EFO_0002892	0.1214182606721343	EFO_0002892	cell proliferation disorder	46	Thyroid cancer	STN1	GCST004144	PMID:28195142	0.9157159927273155
1476	EFO_0000731	0.1229518243799832	EFO_0000731	cell proliferation disorder	34	Uterine fibroids	RBPMS;CD109	GCST90018934	PMID:34594039	0.9102650227424149
1477	EFO_0000389	0.1231235829580729	EFO_0000389	cell proliferation disorder	38	Cutaneous malignant melanoma	TCF25;GPRC5A;CCND1	GCST010304	PMID:32341527	0.9096587548052434
1478	EFO_0000305	0.1243714277819658	EFO_0000305	cell proliferation disorder	32	Breast cancer	ARRDC3;FOXP1;SRGAP2C;HSPA4;CDKAL1	GCST90090980	PMID:32139696	0.9052793799496144
1479	EFO_0000708	0.1247519532286911	EFO_0000708	cell proliferation disorder	18	Squamous cell lung carcinoma	CHRNA3	GCST004750	PMID:28604730	0.9039526459466428
1480	EFO_0000389	0.124909670345455	EFO_0000389	cell proliferation disorder	23	Cutaneous malignant melanoma	TCF25;CCND1	GCST010304	PMID:32341527	0.903403937806054
1481	EFO_0004251	0.1255463728414997	EFO_0004251	cell proliferation disorder	17	Myeloproliferative neoplasms	JAK2	GCST90000032	PMID:33057200	0.9011958299656091
1482	EFO_0007355	0.1270084524509148	EFO_0007355	cell proliferation disorder	51	malignant neoplasm of male genital organs	SKIL;TERT	FINNGEN_R6_C3_MALE_GENITAL		0.8961673756531773
1483	EFO_0007355	0.1270084524509148	EFO_0007355	cell proliferation disorder	51	malignant neoplasm of male genital organs (controls excluding all cancers)	SKIL;TERT	FINNGEN_R6_C3_MALE_GENITAL_EXALLC		0.8961673756531773
1484	EFO_0001663	0.1275274948068122	EFO_0001663	cell proliferation disorder	13	Prostate cancer	TACC1;SESN1;ZBTB38;TLE4;SUGCT;CDKN2B;ZBTB7B	GCST011049	PMID:33398198	0.8943961716569294
1485	EFO_1001516	0.1284707718845007	EFO_1001516	cell proliferation disorder	16	Serous invasive ovarian cancer	TERT	GCST004478	PMID:28346442	0.8911956665203635
1486	EFO_0007355	0.1288546691246577	EFO_0007355	cell proliferation disorder	14	malignant neoplasm of male genital organs	GJC1;MYEOV	FINNGEN_R6_C3_MALE_GENITAL		0.8898998399121847
1487	EFO_0007355	0.1288546691246577	EFO_0007355	cell proliferation disorder	14	malignant neoplasm of male genital organs (controls excluding all cancers)	GJC1;MYEOV	FINNGEN_R6_C3_MALE_GENITAL_EXALLC		0.8898998399121847
1488	EFO_0005842	0.1288980722567176	EFO_0005842	cell proliferation disorder	20	Colorectal cancer	SBF2;SKOR1;BMP2	GCST007992	PMID:31089142	0.8897535777166552
1489	EFO_0009780	0.1294180205409564	EFO_0009780	cell proliferation disorder	28	Malignant neoplasm of breast, HER2-negative	PTHLH;CCND1	FINNGEN_R6_C3_BREAST_HER2NEG		0.8880052470320782
1490	EFO_1000294	0.1298709034446084	EFO_1000294	cell proliferation disorder	23	Malignant neoplasm of breast, HER-positive	CCND1	FINNGEN_R6_C3_BREAST_HERPLUS		0.8864881382949056
1491	EFO_1000294	0.1298709034446084	EFO_1000294	cell proliferation disorder	23	Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	CCND1	FINNGEN_R6_C3_BREAST_HERPLUS_EXALLC		0.8864881382949056
1492	EFO_1001512	0.1298709034446084	EFO_1001512	cell proliferation disorder	23	Endometrial cancer	SOX4	GCST006464	PMID:30093612	0.8864881382949056
1493	EFO_0010176	0.1305016050924534	EFO_0010176	cell proliferation disorder	33	Keratinocyte cancer (MTAG)	BRCA2;SMC2;EXO1	GCST008870	PMID:31174203	0.8843841467279333
1494	MONDO_0021400	0.1308672648612694	MONDO_0021400	cell proliferation disorder	44	Colon polyp	LAMA5;NID2	GCST90018827	PMID:34594039	0.8831689742899493
1495	EFO_0000389	0.1319390460546749	EFO_0000389	cell proliferation disorder	57	Cutaneous malignant melanoma	PARP1;CLPTM1L	GCST010304	PMID:32341527	0.8796266602789738
1496	EFO_0005842	0.1324857132366977	EFO_0005842	cell proliferation disorder	28	Colorectal cancer	HHIP;KLF2;LAMC1;BMP2	GCST007992	PMID:31089142	0.8778309518931976
1497	EFO_0009780	0.1346973755240701	EFO_0009780	cell proliferation disorder	8	Malignant neoplasm of breast, HER2-negative	PTHLH;NRIP1	FINNGEN_R6_C3_BREAST_HER2NEG		0.8706408660922942
