Term	FDR q-val	trait_efos	trait_category	program_name	trait_reported	Lead_genes	study_id	pmid	-log10(p-value)
EFO_0009270	0.1895896402702176	EFO_0009270	measurement	23	Heel bone mineral density	BMP6;HECW2;ANGPT2;RASGRF2;CREB5;SAMD4A;ITGA1;TANC1;EMP1;SOX6;DOCK9;DLC1;LRRC8C;MAP1B;FOXO1;AUTS2;SASH1;FLI1;MECOM;ZEB2;ST6GALNAC3;SVIL;NFIB;KDR;LRMDA;TGFBR2;ADAM12;ARHGAP31;PDE8A;DOCK8;ARHGAP26;FMNL2;HLX;BCL2;ITGA9;GRB10;TNFRSF11A;BCAS3;TCF7L1;OGFRL1;THSD4;EPB41L2;PLPP1;CPEB2;ERC2;SH3RF3;WNT2B;GLI3;CMIP;NEK7;SUPT3H;TCF7L2;MSMO1;BMP4;DUSP4;CABLES1;ATG7	GCST007066	PMID:30595370	0.7221853974641985
EFO_0004628	0.1896646458632122	EFO_0004628	measurement	22	Insulin-like growth factor 1 levels	IGFBP3;FOXO1;HLX;ARL15;DCC;LRRC4;PLXNA2;PITPNM2;DGKH;BCL2;ACVRL1;GAB2;EPHA2;MEF2C;ZFP36L1;INSR;AKT3;CMIP;LRCH1;CPEB4;BTBD9;FOXO3;GNA12;GADD45G;FNDC3A;PLEC	GCST011520	PMID:33587031	0.7220136155396948
EFO_0004348	0.1896829268292683	EFO_0004348	measurement	13	Hematocrit	SORBS1;MEF2C;PDE10A;PROX1;MAML2;ZEB2;ETV6;KLF7;ERG;CYP51A1;MAP4K3;FGD5;TSPAN9;GJA5;ACVRL1;PLCL2;RORA;STARD13;HK1;SSH2;MEIS1;FUT8;PCGF5;ADGRL4;TIE1;RAD51B;TCF7L2;TRPS1;ZBTB20;ITPR3;ZFPM2;LRMDA;FGGY;GMDS;L3MBTL3;CR1L;PHGDH	GCST90002308	PMID:32888493	0.7219717577646111
EFO_0007876	0.1897385752784698	EFO_0007876	measurement	34	Insomnia	ZNF804B;PTN;LRRTM4;APOE;FOXP2;HMGA2;TRPS1;CNTN5;FOXP1;NLGN1;NKAIN2;AGAP1;BTBD9;SNCA;CCDC148;PACRG;SORL1;ISL1;CA10;ARHGAP10;RORB	GCST007988	PMID:30804565	0.7218443648021473
EFO_0007876	0.1897385752784698	EFO_0007876	measurement	34	Insomnia [Female]	ZNF804B;PTN;LRRTM4;APOE;FOXP2;HMGA2;TRPS1;CNTN5;FOXP1;NLGN1;NKAIN2;AGAP1;BTBD9;SNCA;CCDC148;PACRG;SORL1;ISL1;CA10;ARHGAP10;RORB	GCST007988_2	PMID:30804565	0.7218443648021473
EFO_0007876	0.1897385752784698	EFO_0007876	measurement	34	Insomnia [Male]	ZNF804B;PTN;LRRTM4;APOE;FOXP2;HMGA2;TRPS1;CNTN5;FOXP1;NLGN1;NKAIN2;AGAP1;BTBD9;SNCA;CCDC148;PACRG;SORL1;ISL1;CA10;ARHGAP10;RORB	GCST007988_3	PMID:30804565	0.7218443648021473
EFO_0007993	0.1898382784055936	EFO_0007993	measurement	23	Lymphocyte percentage of white cells	CREB5;ITGA1;COL4A1;DACH1;ERG;AUTS2;MBNL1;ZEB2;TTC28;ATXN1;SHB;ADGRL4;CXCR4;PIP4K2A;GFOD1;LRCH1;EXOC6;HDAC7;RUNX2;BCL2;ELF1;SLC12A2;MEF2C;PREX1;LEPR;STXBP5;KIT;TNFRSF10C;HHEX;SPRED2;ELMO1;BACH2;FOXP1;CHSY1;ADAM19;LYST;CMIP;HS6ST1;NR3C1;GRAMD1B;ETS1;PPP1R3B;PKIA;SETBP1;LDLRAD3;ADCY9;RIN3;TRAF3	GCST90002389	PMID:32888494	0.7216162132775538
EFO_0010736	0.1898695805751666	EFO_0010736	measurement	50	Cortical surface area	GREM1;DKK2;GLIS3;JAG1;MLLT3;MITF;NAV3;COL11A1;ELK3;WLS;FANK1;ZBTB20;MSRB3;KIF26B;UNC5C;NUAK1;MICAL2;AGAP1;MAP2;DDAH1;IL17RD;TLE4;GPR137B;SHROOM3;TANC2;CDH11;ELAVL2;ARHGAP31;EFNB2;AUTS2;PRLR;FMNL2;SMG6;GLS;ROBO1;FBN1;RORA;PLXNB2;SOX5;CPEB4;FBXL17;ERC2;ZNF608;CTBP2;RIN3;FRZB;PDGFC;FOXP1;GRIP1;ADGRA2;ANGPT1;TCF7L2;VCAN;ADAMTSL3;THSD4;ANKFN1;GMDS;COL5A2;SYBU;F2R;ADAMTS15;MAPRE2;SEMA6A;TPM1;MAGI1;EPOP;RNLS;MFAP2;ANK3;RND3	GCST90091060	PMID:34560273	0.7215446089679436
EFO_0006340	0.1899676383398337	EFO_0006340	measurement	41	Mean arterial pressure	PDE3A;ATP2B1;SOX6;ARHGAP42;NPNT;PRDM6;SMOC1;JPH2;CACNA1D;PLCE1;NCAM1;AUTS2;MERTK;SLC39A8;SETBP1;PRKCA;SMG6;FBN2;HDAC7;HLCS;GUCY1A1;INSR	GCST90018963	PMID:34594039	0.7213203763497162
EFO_0007978	0.190066017905165	EFO_0007978	measurement	22	Red blood cell count	FOXO1;KITLG;GJA1;PREX1;ERG;STARD13;KIT;MAP4K3;FGD5;ACVRL1;SPRED2;ZEB2;ATP11A;MECOM;MEF2C;ABO;TSPAN9;SSH2;ATP2B4;EPB41L5;SLC20A2;SLC14A2;CPEB4;MDM2;MBNL1;CITED2;FOXP1;PLCL2;NDUFAF6	GCST90002367	PMID:32888493	0.721095524141983
EFO_0009389	0.1901148561093497	EFO_0009389	measurement	50	Sum eosinophil basophil counts	HIVEP3;NFATC2;SMAD3;ZNF365;GLCCI1;SPSB1;CDK6;BACH2;MYC;PPARG;RIN3;SCD5;IRAK2	GCST004624	PMID:27863252	0.7209839448167203
EFO_0005091	0.1901888969698876	EFO_0005091	measurement	27	Monocyte count	ETS1;ITGA4;KITLG;ST8SIA4;KIT;PLK2;ERG;GPC5;RGS5;ZFPM2;DACH1;MEIS1;JCAD;THRB;FOXO1;SPRED2;PLAGL1;ZNF608;CCND3;LPP;ZNF516;SSH2;RUNX2;TNFSF13B;CPEB4;LYN;HLX;PAG1;PPARG;FN1;TMEM131L;ARHGAP23;RBPMS;ATXN1;CITED2;PLCB1;KCNJ2	GCST90002344	PMID:32888493	0.7208148403189977
EFO_0004741	0.1902861928169573	EFO_0004741	measurement	23	Blood urea nitrogen levels	DACH1;PITPNC1;COL4A2;LPP;DGKH;MECOM;PHLDA1;PRSS23;RNF145;ZNF704;GRB10;TNK2;CDC14A;TCF7L1;ADK;SUSD1;BMP4	GCST90018948	PMID:34594039	0.7205927230159216
EFO_0007987	0.1903644442550297	EFO_0007987	measurement	50	Granulocyte count	ITGA4;CREB5;ATXN1;GLCCI1;CDK6;BAZ2B;PLAUR;CPEB4;RIN3;SCD5;SPRED2;LYST	GCST004614	PMID:27863252	0.7204141647006329
EFO_0004346, EFO_0004464	0.1903728815190868	EFO_0004346, EFO_0004464	measurement	23	Brain morphology (min-P)	MAST4;MAGI1;FBXL7;ZEB2;AKT3;DAAM1;NUAK1;COL15A1;MSRB3;LRCH1;DCC;ANO2;RUNX2;DRAM1;GRB10;NHSL1;THSD4;SDCCAG8;IQCJ-SCHIP1;TOX3;FOXP1;CRMP1;SH3RF3;AFAP1;SLC20A2;FOXP2;SSH2;FOXO3;CTBP2;TCF7L2;BMP4;ANKS1A;GADD45G;GNA12;PTCH1	GCST010699	PMID:32665545	0.7203949164842123
EFO_0004346, EFO_0004464	0.1903728815190868	EFO_0004346, EFO_0004464	measurement	23	Brain morphology (MOSTest)	MAST4;MAGI1;FBXL7;ZEB2;AKT3;DAAM1;NUAK1;COL15A1;MSRB3;LRCH1;DCC;ANO2;RUNX2;DRAM1;GRB10;NHSL1;THSD4;SDCCAG8;IQCJ-SCHIP1;TOX3;FOXP1;CRMP1;SH3RF3;AFAP1;SLC20A2;FOXP2;SSH2;FOXO3;CTBP2;TCF7L2;BMP4;ANKS1A;GADD45G;GNA12;PTCH1	GCST010703	PMID:32665545	0.7203949164842123
EFO_0004570	0.1905342073434587	EFO_0004570	measurement	34	Total bilirubin levels	MME;TBX3;EGF;ZBTB20;HMGA2;RORA;STEAP1B;CPS1;SLC25A37;ATP2B4	GCST90018973	PMID:34594039	0.7200270424196382
EFO_0004509	0.1905905530132973	EFO_0004509	measurement	23	Hemoglobin concentration	EDN1;ITGA1;SMAD1;KLF7;MAML2;ERG;ZFPM2;MECOM;ZEB2;ACVRL1;BMP2K;NFIB;TIE1;LRMDA;MAP4K3;ABCA1;CITED2;FGD5;NR5A2;MEF2C;ADGRA2;PCGF5;KIT;TOX3;CCND2;SLC20A2;SUSD1;NR3C1;PHGDH;ETV6;PPP1R3B;GADD45G;GNA12	GCST90002314	PMID:32888493	0.7198986298040663
EFO_0004713	0.1906992776130272	EFO_0004713	measurement	50	Lung function (FEV1/FVC)	FRMD4A;COL8A1;LTBP2;COL4A2;GLIS3;COL4A1;JAG1;ITGAV;COL6A3;MMP14;PRSS23;RUNX2;TGFB2;SMAD3;MSRB3;SOX9;DSP;ACAN;SPSB1;TIPARP;ADGRG6;SPRY4;ELAVL2;ARHGAP31;AUTS2;ARNTL;SMG6;SPRY2;CHRM3;ADAM19;BACH2;FBN1;SPRY1;SOX5;CPEB4;ERC2;SHB;FOXP1;SLC12A2;ADAMTSL3;THSD4;HOXD3;IGFBP5;ITGB8;SPRED2	GCST90025978	PMID:34226706	0.7196509520996174
EFO_0007877	0.1909999999999999	EFO_0007877	measurement	18	Number of sexual partners	LDB2;PCDH7;NCAM1;ZNF423;HCN1;NFIA;LRP8;ASCC3;NAALADL2	GCST007326	PMID:30643258	0.7189666327522727
EFO_0008111	0.1910596999500537	EFO_0008111	measurement	19	Salt added to food	ZEB2;EFNA5;FHIT;RANBP17	NEALE2_1478		0.7188309086280446
EFO_0004309	0.191092750178968	EFO_0004309	measurement	9	Platelet count	MECOM;SETBP1;CXCR4;KLF7;MEIS1;FAM107B;GJA1;RALB;ERG;MAST4;YES1;MTSS1;CD34;FAR2;LRCH1;ZBTB20;IQGAP2;ZFPM2;EPB41L2;PLEC;JCAD;CD9;YPEL2;SERPING1;ELF1;KLF12;ZSWIM6;HDAC7;TNFSF13B;ELMO1;IL27RA;RBPMS	GCST90002361	PMID:32888493	0.7187557892243926
EFO_0009253	0.191133406879229	EFO_0009253	measurement	0	Immature fraction of reticulocytes	BMP2K;ITGA1;FOXP1;ARHGAP31;PDZD2;NOD1;PLXND1;TSPAN15;PLPP3;ZEB2;GLS;UBASH3B;CA3;L3MBTL3;RAD51B;MYCT1;VWA8;HDAC7;MYO1D;ATP2B4;FOXO3;HEG1;BNC2;CPEB4;CRADD;GJA1	GCST90025971	PMID:34226706	0.7186633989977361
EFO_0004308	0.1911739393198151	EFO_0004308	measurement	39	White blood cell count	CXCL12;MEIS1;MAFB;PPARG;CSF1;CPEB4;LYN;FOXP1;SESN3;SOX5;UBASH3B;TNFAIP8;LEPR;STXBP5;METRNL;SLC2A1;FN1;MAPK4;FBXL17;BNC2;RIN3;SSH2;ARHGAP42;PPCDC;CCDC92;CPS1;FMNL2;ZNF516	GCST90018978	PMID:34594039	0.7185713107052898
EFO_0007978	0.1912330602429966	EFO_0007978	measurement	23	Red blood cell count	EDN1;KITLG;ITGA1;SOX6;KLF7;PTPRF;ERG;FOXO1;MBNL1;ZFPM2;MECOM;ZEB2;ACVRL1;NFIB;LRMDA;MAP4K3;ATP11A;CITED2;FGD5;MEF2C;AGAP1;PREX1;KIT;SPRED2;BACH2;FOXP1;GJA1;CCND2;SLC20A2;SSH2;TCF7L2;PHGDH	GCST90002367	PMID:32888493	0.7184370250309341
EFO_0004695	0.1912918566847821	EFO_0004695	measurement	9	Intraocular pressure	MECOM;MEIS1;ABCA1;TSPAN18;ABO;HHEX;FOXC1;LPP;GAB2;FERMT2;ZEB2;CTTNBP2;AFAP1;PCSK5;TCF7L2	GCST006412	PMID:29785010	0.7183035175426943
EFO_0004536	0.1913154386552752	EFO_0004536	measurement	50	Serum total protein level	RUNX1;COL4A1;NREP;ATXN1;MAML2;DUSP6;PAG1;TLE4;TRAF3;BACH2;RORA;SOX5;PPARG;CSF1;ASCC3;TCF7L2;MARK1;SLC12A2;HSP90B1;CCND3	GCST90018976	PMID:34594039	0.7182499821303001
EFO_0007877	0.1913481831331809	EFO_0007877	measurement	0	Number of sexual partners	LDB2;DCC;FOXP1;NFIA;FOXP2;ASCC3;ZNF423;NAALADL2	GCST007326	PMID:30643258	0.718175657081917
EFO_0004703	0.1914951778891259	EFO_0004703	measurement	39	Menarche (age at onset)	GAB2;PRKD1;AKT3;SEMA6D;FOXO3;SOX5;THRB;LEPR;PAN3;FHIT;BDNF;KDM4C;CTBP2;MBNL2;ZBTB20;GREB1;UNC79;PHF21A;DLGAP1;PCDH20;PTPRD;SLIT3;CADM1;KCTD8;MSH6;HPCAL1	GCST007078	PMID:30595370	0.7178421576875837
EFO_0009270	0.1915255195477089	EFO_0009270	measurement	55	Heel bone mineral density	ADAMTS6;CACNA1C;FN1;CDH11;SLC1A3;RBMS3;KCNMA1;CADM1;COL1A2;SMAD3;THSD4;SOX6;DAAM2;AFF3;ADAMTSL3;SPP1;SLC4A4;CD44;TNFRSF19;COL11A1;ST6GALNAC3;SAMD4A;GLI3;IRS1;BNC2;TGFBI;WLS;AUTS2;FAT1;PLPP1;AXL;ADAM12;SEMA6D;BICC1;ISL1;ADGRG6;LRRC1;BMP4;BCKDHB;LRMDA;UBASH3B;TCF7L2;PTPRM;MECOM;ANK3;DISP1;DYNC1I1;SETBP1;KCNQ5;HHAT;BCAS3;COL14A1;DOCK9;PAPPA;ARHGAP42;CTTNBP2;DOCK8;DGKB;NEK7;HECW2;FBXO32;MEIS1;SLC8A1;MAP1B;PDE8A;SGIP1;ADCY9;PKNOX2;TANC1;DLC1;NOS1AP;ATXN7L1;GAS1;WWOX;SEMA3A	GCST007066	PMID:30595370	0.7177733508841387
EFO_0007937	0.1915728433926997	EFO_0007937	measurement	27	Serum total protein level	NREP;COL4A1;COLEC12;SLC12A2;TNFSF13B;PAG1;ATXN1;PPP1R3B;ST6GAL1	GCST90019522	PMID:33462484	0.7176660547595156
EFO_0009749	0.1917127304143061	EFO_0009749	measurement	55	Age at first sexual intercourse	ZNF608;AFF3;MAML3;SDK1;TSHZ2;ZNF521;SEMA6D;ISL1;RARB;LRRTM4;NPAS3;ST3GAL3;RUNX1T1;CPQ;DUSP6;FHIT;GIPC2;RANBP17;TRAF3;CAMKMT	GCST90000047	PMID:34211149	0.7173490474499654
EFO_0007828	0.1917314141501923	EFO_0007828	measurement	23	Daytime nap	ANXA3;CDH2;AGAP1;BTBD9;HELZ2;EFNA5	GCST011494	PMID:33568662	0.7173067245014049
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [Brain stem]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left amygdala]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_10	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left cerebellum exterior]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_14	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left isthmus cingulate]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_24	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [X3rd ventricle]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_3	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left pallidum]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_30	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left parahippocampal]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_31	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left putamen]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_38	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [X4th ventricle]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_4	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right caudate]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_48	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right cerebellum exterior]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_49	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [cerebellar vermal lobules I V]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_5	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right cerebellum white matter]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_50	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right insula]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_58	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [cerebellar vermal lobules VI VII]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_6	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right pallidum]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_66	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [cerebellar vermal lobules VIII X]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_7	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right precuneus]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_74	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [right putamen]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_75	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [total brain volume]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_82	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [white matter]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_83	PMID:31676860	0.7167031947092558
EFO_0006930	0.1919980444353569	EFO_0006930	measurement	23	Brain region volumes [left accumbens area]	KLF7;DAAM1;NUAK1;ANXA1;MSRB3;DCC;RUNX2;DRAM1;BCL2;GRB10;SLC20A2;FOXO3;STK17A;GNA12;TTLL11;CAMTA1;EFNA5;CUBN;STON1	GCST009518_9	PMID:31676860	0.7167031947092558
EFO_0004308	0.1920472686569903	EFO_0004308	measurement	22	White blood cell count	ETS1;KITLG;PREX2;GJA1;SETBP1;HLX;ERG;SLC45A4;KIT;VSIR;SPRED2;DOCK8;CREB5;TGOLN2;ABO;SSH2;FMNL2;CPEB4;RP1;FBXL17;FOXP1;PPCDC;ZNF516;GNA12;PCBP1;TBC1D8	GCST90018978	PMID:34594039	0.7165918650967353
EFO_0009929	0.1920977024033541	EFO_0009929	measurement	23	Medication use (beta blocking agents)	SOX6;PLEKHG1;FGD5;WNT2B;CMIP	GCST90018986	PMID:34594039	0.7164778295136954
EFO_0007986	0.1922605831513661	EFO_0007986	measurement	22	High light scatter reticulocyte count	FOXO1;SETBP1;ARL15;CDH5;BMP2K;NOD1;ARHGAP31;SLC45A4;LPL;PCDH12;PITPNM2;KIT;ZEB2;ATP11A;LPP;INSR;GLS;SCARF1;PER1;NUDT4;PDZD2;NABP1;GFOD1;CPEB4;HDAC7;CITED2;FOXO3;MYO1D;ST3GAL4	GCST90025970	PMID:34226706	0.7161097447502708
EFO_0009928	0.1922755058630032	EFO_0009928	measurement	23	Medication use (diuretics)	SOX6;PLEKHG1;ZEB2;SLC7A1;WNT2B;CMIP	GCST90018985	PMID:34594039	0.7160760373739936
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026052	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026060	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026062	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	2,3-dihydroxy-2-methylbutyrate levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026067	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Ascorbate (vitamin c) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026126	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Citramalate levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026140	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Erythritol levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026156	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Hydroxyasparagine levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026185	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Methylmalonate (mma) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026200	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Myo-inositol levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026203	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	N-acetylglucosamine/n-acetylgalactosamine levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026212	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	N-acetylhistidine levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026216	PMID:33437055	0.7159616042178011
EFO_0004725	0.1923261756111434	EFO_0004725	measurement	41	Oxalate (ethanedioate) levels	MEIS2;FLRT2;EDIL3;RBMS3;SYNE1;TTC28;AUTS2;RALYL;RORA;EFNA5;FRMD4A;FAM110B;TGFB2;DPYD	GCST90026243	PMID:33437055	0.7159616042178011
